company,job_summary,job_title,job_type,location,post_date,remote,salary_range,url
Appcastenterprise,"Salary: 10 per hour Mileage &amp; Travel Time Reference: MIBR-PORT Job Title:  Care Assistant Locations: Port Talbot SA12 7NE, SA13 1TD, SA12 6SL,SA13 2BB,SA12 8UR Cwmafan SA12 9PA, Aberavon SA13 1BW, Sandfields SA12 7LF, Taibach SA13 2HT,SA13 2LA...",Care Assistant,"Permanent, full-time or part-time",Port Talbot                    West Glamorgan,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360435?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,Were looking for a Customer Service Assistant who can make a real difference in their local community Putting U in Southern Co-op Southern Co-op is recruiting for a Customer Service Assistant to help deliver the excellent service were known for. Our...,Customer Service Assistant,"Permanent, full-time or part-time",Shaftesbury                    Dorset,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/customer-service-assistant/47310566?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 21,840 per year Reference: KM4 What makes a good Care Assistant? At Constance Care we look at peoples values, attitudes and reasons for wanting to work in care, whilst experience is desirable, it is not necessary as we provide full training and...",Care Assistant,"Permanent, full-time or part-time","Crosshouse, Kilmarnock                    Ayrshire",Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360398?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Make Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Immediate Start - Paid Emails,"Permanent, full-time or part-time",Bradford                    West Yorkshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/immediate-start-paid-emails/47299754?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",Market Research - Work From Home,"Permanent, full-time or part-time",Clapham Junction                    London,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/market-research-work-from-home/47299724?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Swindon                    Wiltshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299747?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Swindon                    Wiltshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299747?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",No Experience Required,"Contract, full-time or part-time",Halifax                    West Yorkshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/no-experience-required/47299762?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 11.00 - 13.50 per hour Reference: HLC-Exeter1 Job Title:Care Assistant Locations: Okehampton , North Tawton Hatherleigh EX20 Pay Rate: 11.00 - 13.50 Mileage: 25p ShiftsFlexible hours available, full time, part time, evenings and weekends available...",Care Assistant,"Permanent, full-time or part-time",Okehampton                    Devon,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360371?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 10 per hour Mileage &amp; Travel Time Reference: MIBR-PORT Job Title:  Care Assistant Locations: Port Talbot SA12 7NE, SA13 1TD, SA12 6SL,SA13 2BB,SA12 8UR Cwmafan SA12 9PA, Aberavon SA13 1BW, Sandfields SA12 7LF, Taibach SA13 2HT,SA13 2LA...",Care Assistant,"Permanent, full-time or part-time",Port Talbot                    West Glamorgan,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360435?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Ruella James,"Graduate Trainee Recruitment Consultant - Digital, Marketing, Technology and Media sectors Basic c. 23-24k OTE 30-40k Heres some of the best parts of their benefits... 19% of all billings over threshold Quarterly Bonus Annual Bonus. Monthly office pub...",Graduate,"Permanent, full-time",London                    London,4 days ago by Ruella James,Work from home,"23,000 - 40,000 per annum, OTE",https://www.reed.co.uk/jobs/graduate/47319479?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Ruella James,"Graduate Trainee Recruitment Consultant - Digital, Marketing, Technology and Media sectors Basic c. 23-24k OTE 30-40k Heres some of the best parts of their benefits... 19% of all billings over threshold Quarterly Bonus Annual Bonus. Monthly office pub...",Graduate,"Permanent, full-time",London                    London,4 days ago by Ruella James,Work from home,"23,000 - 40,000 per annum, OTE",https://www.reed.co.uk/jobs/graduate/47319479?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Bell Cornwall Recruitment,"Commercial Graduate Location: Birmingham Salary: 20,000- 25,000 Ref: NT/BCR/9880 Ideal role for University graduates Bell Cornwall Recruitment are excited to currently have an interesting and unique graduate opportunity for an ambitious and driven individual...",Commercial Graduate,"Permanent, full-time",Birmingham                    West Midlands (County),21 June by Bell Cornwall Recruitment,,"20,000 - 25,000 per annum",https://www.reed.co.uk/jobs/commercial-graduate/47258503?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Blueprint Recruitment Solutions,"Graduate Resourcer A trainee role for a new graduate - based in Fareham, Portsmouth. About Blueprint Blueprint Recruitment is a successful, professional recruitment company based on the rural Cams Hall Estate business park in Fareham, near to Portsmouth...",Graduate Resourcer,"Permanent, full-time",Fareham                    Hampshire,9 June by Blueprint Recruitment Solutions,,"24,000 - 28,000 per annum, negotiable, inc benefits, OTE",https://www.reed.co.uk/jobs/graduate-resourcer/47128226?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Paid Surveys - Work Your Own Hours,"Permanent, full-time or part-time",Canary Wharf                    London,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-surveys-work-your-own-hours/47299817?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Buchanan Search,"Benefits:  Competitive salary, alongside uncapped commission structure Thorough and continuous training Weekly team socials Michelin  Lunch Clubs The Role of a Graduate Broker: Excellent training programme – providing knowledge on markets, products and...",Graduate Broker,"Permanent, full-time",London                    London,20 May by Buchanan Search,,"25,000 - 30,000 per annum",https://www.reed.co.uk/jobs/graduate-broker/46933982?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Buchanan Search,"Benefits: Competitive salary with competitive, uncapped commission scheme Michelin Star Lunch Clubs Quarterly holidays for targets hit within teams 20 days paid holiday, plus bank holidays What are they looking for in a Graduate Finance Analyst? 2:1 recent...",Graduate Analyst,"Permanent, full-time",London                    London,20 May by Buchanan Search,,"25,000 - 30,000 per annum",https://www.reed.co.uk/jobs/graduate-analyst/46937744?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Oliver George Consulting Limited,"Graduate Recruiter Graduate Recruiter Benefits. Basis salary 20,000-25,000 on experience An excellent starting salary with targets to increase this too Unlimited commission / bonus potential - 50k in year one is achievable Excellent opportunities for career...",Graduate Recruiter,"Permanent, full-time",Bristol                    Avon,2 June by Oliver George Consulting Limited,,"20,000 - 40,000 per annum, negotiable, inc benefits, OTE",https://www.reed.co.uk/jobs/graduate-recruiter/47065440?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Appcastenterprise,"Salary: 11.69 - 11.69 per hour Reference: 1.3CAMD Job Title: Care Assistant Locations: NW1, NW2, NW3, NW5, NW6, NW8, N19, W9, WC1 Pay Rate:  11.69 per hour Shifts available: Full time and part time, morning and evening shifts available with guaranteed...",Care Assistant,"Permanent, full-time or part-time","Kilburn, Belper                    Derbyshire",Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360296?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,Salary: 11.50 - 14.00 per hour Lots of Work Bonus Potential Reference: WILT1 To apply you must be an experienced Care Assistant and/or Support Worker Rate of Pay: 11.50 - 14.00 per hour We have Carers earning up to 750 a week Lots of Varied Work to choose...,Care Assistant,"Permanent, full-time or part-time",Swindon                    Wiltshire,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360475?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
My Four Wheels,My Four Wheels are one of the most trusted and fastest growing driving school in the UK with 200 driving instructors currently on the road and hundreds in our training programme who will be hitting the roads shortly. There is currently a record number...,Trainee Driving Instructor,"Permanent, full-time",Esher                    Surrey,Yesterday by My Four Wheels,Work from home,"20,000 - 35,000 per annum",https://www.reed.co.uk/jobs/trainee-driving-instructor/47360202?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Research Tribe,"Immediate Start - Paid Research Research Tribe is looking for people across the UK to work from home by taking part in research. You could become a mystery shopper, product tester or simply share your opinion through paid surveys, focus groups and more...",Immediate Start,"Permanent, full-time or part-time",Cardiff                    South Glamorgan,2 days ago by Research Tribe,Work from home,Training Course,https://www.reed.co.uk/jobs/immediate-start/47115771?source=searchResults&filter=%2fjobs%2fimmediate-start-jobs
Appcastenterprise,"Salary: 21,840 per year Reference: LM6.1 What makes a good Care Assistant? At Constance Care we look at peoples values, attitudes and reasons for wanting to work in care, whilst experience is desirable, it is not necessary as we provide full training...",Care Assistant,"Permanent, full-time or part-time",West Calder                    West Lothian,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360432?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,Were looking for a Customer Service Assistant who can make a real difference in their local community Putting U in Southern Co-op Southern Co-op is recruiting for a Customer Service Assistant to help deliver the excellent service were known for. Our...,Customer Service Assistant,"Permanent, full-time or part-time",Farnham                    Surrey,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/customer-service-assistant/47310552?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 12 - 13 per hour Reference: KSCP-SURRE2 Job Title: Care Assistant Locations: CR5 Coulsdon, CR3 Caterham, CR6 Warlingham Pay Rate: 12.00 Mon-Fri , 13.00 Weekends , 18.00 Bank holidays Mileage: 30p per mile Shifts available: Flexible hours available...",Care Assistant,"Permanent, full-time or part-time",Coulsdon                    Surrey,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360399?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Make Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",Paid Emails - Work From Home - Immediate Start,"Permanent, full-time or part-time",Lewisham                    London,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home-immediate-start/47299793?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Work From Anywhere,"Permanent, full-time or part-time",Basildon                    Essex,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/work-from-anywhere/47299725?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Additional Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra...",Paid Emails - Work From Home,"Permanent, full-time or part-time","Ashford, Kent                    Kent",Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299748?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Additional Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra...",Paid Emails - Work From Home,"Permanent, full-time or part-time","Ashford, Kent                    Kent",Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299748?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Plymouth                    Devon,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299764?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 11.00 - 13.50 per hour Mileage Reference: HLC-EXET1.4 Job Title: Care Assistant Location: Crediton, Lapford, Bow, Zeal Monachorum, Morchard Bishop, Copplestone, Sandford, Black Dog EX17   Pay Rate:  11 – 13.50 p/h Mileage: 25p per mile Shifts...",Care Assistant,"Permanent, full-time or part-time",Crediton                    Devon,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360372?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 21,840 per year Reference: LM6.1 What makes a good Care Assistant? At Constance Care we look at peoples values, attitudes and reasons for wanting to work in care, whilst experience is desirable, it is not necessary as we provide full training...",Care Assistant,"Permanent, full-time or part-time",West Calder                    West Lothian,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360432?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Reed Business Support,I am currently recruiting for a Graduate Analyst to work in our clients screening team on a permanent basis. The company specialises in outsourced compliance and screenings for their clients onboarding process. Spec: Analysts are best placed to help our...,Graduate,"Permanent, full-time",Sevenoaks                    Kent,1 June by Reed Business Support,,"20,000 - 21,000 per annum, inc benefits",https://www.reed.co.uk/jobs/graduate/47056425?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Reed Business Support,I am currently recruiting for a Graduate Analyst to work in our clients screening team on a permanent basis. The company specialises in outsourced compliance and screenings for their clients onboarding process. Spec: Analysts are best placed to help our...,Graduate,"Permanent, full-time",Sevenoaks                    Kent,1 June by Reed Business Support,,"20,000 - 21,000 per annum, inc benefits",https://www.reed.co.uk/jobs/graduate/47056425?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Brandon James Ltd,An independent property specialist that specialise in residential and commercial property are now seeking a Graduate Surveyor to join their North London team. The successful Graduate will assist with carrying out all aspects of commercial surveying under...,Graduate Surveyor,"Permanent, full-time",Enfield                    Middlesex,26 May by Brandon James Ltd,,"20,000 - 25,000 per annum",https://www.reed.co.uk/jobs/graduate-surveyor/47006268?source=searchResults&filter=%2fjobs%2fgraduate-jobs
TALENTTECH RECRUITMENT LTD,"Graduate SDR Education Software Access to Birmingham office 27,000 - 32,000 10,000 OTE Great Benefits ·Fantastic opportunity for a recent graduate looking for a career in sales or candidates with some previous sales experience to sell EdTech (Education...",Graduate SDR,"Permanent, full-time",Solihull                    West Midlands (County),23 May by TALENTTECH RECRUITMENT LTD,,"27,000 - 32,000 per annum",https://www.reed.co.uk/jobs/graduate-sdr/46963691?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Work From Anywhere - Choose Your Hours,"Temporary, full-time or part-time",Sunderland                    Tyne and Wear,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/work-from-anywhere-choose-your-hours/47299818?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Tradewind Recruitment,Science Graduate Required for Technician Role in South Gloucestershire Calling all Science Graduates in Bristol/South Gloucestershire Are you a Science Graduate looking to gain work experience within a school as a Science Technician? Tradewind is currently...,Science Graduate,"Contract, full-time",Gloucestershire                    Gloucestershire,13 June by Tradewind Recruitment,,Salary negotiable,https://www.reed.co.uk/jobs/science-graduate/47153517?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Buchanan Search,"If you are a recent graduate or entry-level person looking to learn with unlimited earning potential, we have the perfect job for you. We are currently seeking a Graduate Project Administrator to join our team. In this role, you will be responsible for...",Graduate Administrator,"Permanent, full-time",London                    London,5 June by Buchanan Search,,"25,000 - 30,000 per annum",https://www.reed.co.uk/jobs/graduate-administrator/47075740?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Buchanan Search,"We are currently seeking a recruitment consultant to join this growing team. This is a fantastic opportunity for a graduate with an interest in fintech to take their career to the next level. As a recruitment consultant, you will be responsible for sourcing...",Graduate Recruiter,"Permanent, full-time",London                    London,22 June by Buchanan Search,,"25,000 - 30,000 per annum",https://www.reed.co.uk/jobs/graduate-recruiter/47266930?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Appcastenterprise,Salary: 10.30 - 10.30 per hour Paid Mileage Reference: 1.4ELY Job Title: Care Assistant Locations: Wisbech and surround villages Pay Rate:  10.30 Mileage: 25p per mile Shifts available:Full/part time hours and Flexible working hours to work around...,Care Assistant,"Permanent, full-time or part-time",Wisbech                    Cambridgeshire,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360297?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,Salary: 11.50 - 14.00 per hour Lots of Work Bonus Potential Reference: WILT12 To apply you must be an experienced Care Assistant and/or Support Worker Rate of Pay: 11.50 - 14.00 per hour We have Carers earning up to 750 a week Lots of Varied Work to choose...,Care Assistant,"Permanent, full-time or part-time",Chippenham                    Wiltshire,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360476?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
My Four Wheels,My Four Wheels are one of the most trusted and fastest growing driving school in the UK with 200 driving instructors currently on the road and hundreds in our training programme who will be hitting the roads shortly. There is currently a record number...,Trainee Driving Instructor,"Permanent, full-time",Folkestone                    Kent,Yesterday by My Four Wheels,Work from home,"20,000 - 35,000 per annum",https://www.reed.co.uk/jobs/trainee-driving-instructor/47360201?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Research Tribe,"Immediate Start - Paid Research Research Tribe is looking for people across the UK to work from home by taking part in research. You could become a mystery shopper, product tester or simply share your opinion through paid surveys, focus groups and more...",Immediate Start,"Permanent, full-time or part-time",Aberdeen                    Aberdeenshire,2 days ago by Research Tribe,Work from home,Training Course,https://www.reed.co.uk/jobs/immediate-start/47115736?source=searchResults&filter=%2fjobs%2fimmediate-start-jobs
Appcastenterprise,"Salary: 10 per hour Mileage &amp; Travel Time Reference: MIBR-NEA Job Title:  Care Assistant Locations: Neath SA11 1HP, SA11 3EY, SA11 2BL Blaengwrach SA11 5ST, Skewen SA10 6UH, Aberdulais SA10 8RA, Glynneath SA11 5AR, Glyn-Nedd SA11 5BD, Baglan SA12...",Care Assistant,"Permanent, full-time or part-time",Neath                    West Glamorgan,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360434?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,Were looking for a Customer Service Assistant who can make a real difference in their local community Putting U in Southern Co-op Southern Co-op is recruiting for a Customer Service Assistant to help deliver the excellent service were known for. Our...,Customer Service Assistant,"Permanent, full-time or part-time",Wittering                    Cambridgeshire,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/customer-service-assistant/47310546?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 10.14 - 11.00 per hour Mileage Reference: KENT-SCP1.8 Job Title: Care Assistant Location:Maidstone ME14, ME15, ME16, ME17 Pay Rate:  10.14 - 11.00 per hour Mileage: 20p per mile Shifts available: Flexible hours available, full time, part time...",Care Assistant,"Permanent, full-time or part-time",Maidstone                    Kent,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360394?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra income...",Paid Emails - Immediate Start,"Permanent, full-time or part-time",Watford                    Hertfordshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-immediate-start/47299796?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Oxford                    Oxfordshire,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299726?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Additional Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Crawley                    West Sussex,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299749?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Additional Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra...",Paid Emails - Work From Home,"Permanent, full-time or part-time",Crawley                    West Sussex,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/paid-emails-work-from-home/47299749?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Opinion Groups,"Immediate Start - Earn Extra Money In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback UK could help you earn extra income...",Part Time Role,"Permanent, full-time or part-time",Solihull                    West Midlands (County),Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/part-time-role/47299755?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 10.02 - 13.36 per hour Reference: GM3.1 What makes a good Care Assistant? At Constance Care we look at peoples values, attitudes and reasons for wanting to work in care, whilst experience is desirable, it is not necessary as we provide full training...",Care Assistant,"Permanent, full-time or part-time",Leven                    Fife,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360367?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Appcastenterprise,"Salary: 10 per hour Mileage &amp; Travel Time Reference: MIBR-NEA Job Title:  Care Assistant Locations: Neath SA11 1HP, SA11 3EY, SA11 2BL Blaengwrach SA11 5ST, Skewen SA10 6UH, Aberdulais SA10 8RA, Glynneath SA11 5AR, Glyn-Nedd SA11 5BD, Baglan SA12...",Care Assistant,"Permanent, full-time or part-time",Neath                    West Glamorgan,Yesterday by Appcastenterprise,,Competitive salary,https://www.reed.co.uk/jobs/care-assistant/47360434?source=searchResults&filter=%2fjobs%2fpart-time%3fsortby%3dDisplayDate
Reeson Education,"Outstanding School seeks team of Graduates to act as tutors, mentors and learning assistants in various subject areas. Excellent pay. Fantastic Grade 1 Ofsted 11 - 18 School Graduate Tutor, Academic Mentor 17,364 - 25,801 12 month or permanent contract...",Graduate,"Permanent, full-time",Uxbridge                    Middlesex,10 June by Reeson Education,,"17,364 - 25,801 per annum",https://www.reed.co.uk/jobs/graduate/47148931?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Reeson Education,"Outstanding School seeks team of Graduates to act as tutors, mentors and learning assistants in various subject areas. Excellent pay. Fantastic Grade 1 Ofsted 11 - 18 School Graduate Tutor, Academic Mentor 17,364 - 25,801 12 month or permanent contract...",Graduate,"Permanent, full-time",Uxbridge                    Middlesex,10 June by Reeson Education,,"17,364 - 25,801 per annum",https://www.reed.co.uk/jobs/graduate/47148931?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Inside Out Purchasing &amp; Supply,Inside Out Purchasing &amp; Supply has been engaged by a Global business to recruit a Graduate Buyer. This role would ideally suit a recent graduate who is looking for their first step into a Procurement career or a graduate with up to 12 months experience...,Graduate Buyer,"Permanent, full-time",London                    London,4 days ago by Inside Out Purchasing &amp; Supply,,"26,000 per annum",https://www.reed.co.uk/jobs/graduate-buyer/47311918?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Sigma Recruitment Ltd,Opportunity for an electronics graduate to join a well-established and successful manufacturing company. The business has been trading since the 1980s and is proud to design and manufacture its products from its factory in Tewkesbury. The company have...,Electronics Graduate,"Permanent, full-time",Walton Cardiff                    Gloucestershire,9 June by Sigma Recruitment Ltd,,"23,000 - 25,000 per annum, inc benefits",https://www.reed.co.uk/jobs/electronics-graduate/47128429?source=searchResults&filter=%2fjobs%2fgraduate-jobs
Opinion Groups,"Immediate Start - Make Additional Income In Your Spare Time We are currently looking for members to start working online and from home - flexible hours. All you need is a smartphone, tablet or laptop to get involved. Cashback could help you earn extra...",Work From Anywhere,"Permanent, full-time or part-time",Belfast                    County Antrim,Yesterday by Opinion Groups,Work from home,Training Course,https://www.reed.co.uk/jobs/work-from-anywhere/47299819?source=searchResults&filter=%2fjobs%2fwork-from-home-jobs%3fsortby%3dDisplayDate
MPL,If you are a Graduate thinking about Recruitment &amp; Headhunting as a career look no further than this summer 2022 Graduate Scheme. With a 12 week Recruitment Training program all Graduates will be trained in all aspects of Headhunting and Recruitment...,Graduate Scheme,"Permanent, full-time",London                    London,10 June by MPL,,"25,000 - 40,000 per annum, inc benefits, OTE",https://www.reed.co.uk/jobs/graduate-scheme/47145633?source=searchResults&filter=%2fjobs%2fgraduate-jobs
